,Unnamed: 0,Unnamed: 0.1,Timestamp,Open,High,Low,Close,Volume,24m Volume RA,24m Close Price RA
553,553,2019-01-18 19:44:00+00:00,2019-01-18 19:44:00+00:00,6.49e-05,6.633e-05,6.473e-05,6.632e-05,477,118.16666666666669,6.20845833333333e-05
554,554,2019-01-18 19:45:00+00:00,2019-01-18 19:45:00+00:00,6.632e-05,6.632e-05,6.454e-05,6.54e-05,324,127.875,6.225874999999996e-05
555,555,2019-01-18 19:46:00+00:00,2019-01-18 19:46:00+00:00,6.538e-05,6.553e-05,6.439e-05,6.440000000000001e-05,176,132.29166666666666,6.238624999999996e-05
556,556,2019-01-18 19:47:00+00:00,2019-01-18 19:47:00+00:00,6.437e-05,6.503e-05,6.356e-05,6.37e-05,244,140.41666666666666,6.248249999999997e-05
557,557,2019-01-18 19:48:00+00:00,2019-01-18 19:48:00+00:00,6.379e-05,6.425e-05,6.36e-05,6.388e-05,218,146.625,6.260249999999996e-05
558,558,2019-01-18 19:49:00+00:00,2019-01-18 19:49:00+00:00,6.391e-05,6.439e-05,6.367e-05,6.4e-05,157,150.29166666666666,6.27308333333333e-05
559,559,2019-01-18 19:50:00+00:00,2019-01-18 19:50:00+00:00,6.404e-05,6.428e-05,6.356e-05,6.389e-05,138,153.75,6.284166666666663e-05
560,560,2019-01-18 19:51:00+00:00,2019-01-18 19:51:00+00:00,6.384e-05,6.388e-05,6.308e-05,6.353e-05,200,160.83333333333334,6.294666666666663e-05
561,561,2019-01-18 19:52:00+00:00,2019-01-18 19:52:00+00:00,6.353e-05,6.353e-05,6.277e-05,6.313e-05,117,164.16666666666666,6.30333333333333e-05
562,562,2019-01-18 19:53:00+00:00,2019-01-18 19:53:00+00:00,6.311e-05,6.344e-05,6.291e-05,6.330000000000001e-05,89,166.58333333333334,6.31333333333333e-05
563,563,2019-01-18 19:54:00+00:00,2019-01-18 19:54:00+00:00,6.329e-05,6.329e-05,6.293e-05,6.306e-05,78,166.08333333333334,6.320499999999998e-05
564,564,2019-01-18 19:55:00+00:00,2019-01-18 19:55:00+00:00,6.309e-05,6.361e-05,6.306e-05,6.345e-05,96,167.75,6.328874999999998e-05
565,565,2019-01-18 19:56:00+00:00,2019-01-18 19:56:00+00:00,6.342e-05,6.4e-05,6.318e-05,6.392e-05,86,168.5,6.338708333333331e-05
566,566,2019-01-18 19:57:00+00:00,2019-01-18 19:57:00+00:00,6.398e-05,6.413e-05,6.225e-05,6.277e-05,326,180.0,6.34433333333333e-05
